x,y,z,qx,qy,qz,qw
-1.452146530151367188e+00,6.003833293914794922e+00,6.736472606658935547e+00,-2.438965672624129194e-02,4.723708723056707637e-02,-6.665796981663246745e-01,7.435362907520657316e-01
-1.455020427703857422e+00,6.007374286651611328e+00,6.740429878234863281e+00,-2.472203395865852499e-02,4.720358700005415631e-02,-6.668566146643499781e-01,7.432790609603765475e-01
-1.446508646011352539e+00,6.000568389892578125e+00,6.741573810577392578e+00,-2.429104944246266579e-02,4.737036320337573159e-02,-6.675700645138994416e-01,7.426419761432894173e-01
-1.447108507156372070e+00,5.993395328521728516e+00,6.736986160278320312e+00,-2.405722853130996472e-02,4.672499876449772577e-02,-6.677313920398809666e-01,7.425454318130455533e-01
-1.442965865135192871e+00,5.987872123718261719e+00,6.740011215209960938e+00,-2.332235289419481994e-02,4.750563686245518752e-02,-6.659854366458572983e-01,7.440857078532906455e-01
-1.443508863449096680e+00,5.974084854125976562e+00,6.738929748535156250e+00,-2.381901959613063821e-02,4.779831109807675116e-02,-6.662985608348416244e-01,7.437708040841949364e-01
-1.446121931076049805e+00,5.978774070739746094e+00,6.740293979644775391e+00,-2.161731040505273857e-02,4.933925938828897378e-02,-6.653711348167440365e-01,7.445672957149745974e-01
-1.449338793754577637e+00,5.981585025787353516e+00,6.738540172576904297e+00,-2.153695129289769084e-02,4.924896426030471452e-02,-6.638398011323511927e-01,7.459412101773993387e-01
-1.453902006149291992e+00,5.999755382537841797e+00,6.744228363037109375e+00,-2.057716656953065965e-02,5.023871020666315079e-02,-6.629720063152576559e-01,7.466736943700154061e-01
-1.454179286956787109e+00,6.006996631622314453e+00,6.736181735992431641e+00,-2.230238350752580118e-02,4.891719739210179801e-02,-6.631956548916490002e-01,7.465133647888876345e-01
-1.448056101799011230e+00,6.006220817565917969e+00,6.728376865386962891e+00,-2.410635013338692512e-02,4.662058201523132384e-02,-6.638646617639999414e-01,7.460094349338975972e-01
-1.457042455673217773e+00,6.004843235015869141e+00,6.725463390350341797e+00,-2.596048571725381726e-02,4.666777259267063799e-02,-6.628133198428036721e-01,7.468786043515082129e-01
-1.454074263572692871e+00,5.999722957611083984e+00,6.734644889831542969e+00,-2.560519764119176603e-02,4.648065809975127777e-02,-6.629604216475983858e-01,7.467719959712564304e-01
-1.458109378814697266e+00,5.995227336883544922e+00,6.733652114868164062e+00,-2.585196539647481584e-02,4.547493683230487138e-02,-6.626602821279989897e-01,7.470917256097647785e-01
-1.451134324073791504e+00,5.991106986999511719e+00,6.734166145324707031e+00,-2.584465349414698590e-02,4.596772948013440330e-02,-6.633716411969653448e-01,7.464302412652902285e-01
-1.450786113739013672e+00,6.000380039215087891e+00,6.732992172241210938e+00,-2.557418260853340508e-02,4.500953902931088824e-02,-6.629100248528601025e-01,7.469078697668871669e-01
-1.452496647834777832e+00,5.996571063995361328e+00,6.733287334442138672e+00,-2.568005450124946978e-02,4.579464529394120659e-02,-6.626620251965179564e-01,7.470765157205185858e-01
-1.458258986473083496e+00,5.998476028442382812e+00,6.727960586547851562e+00,-2.639780553158361381e-02,4.564451934714458536e-02,-6.624788988515331045e-01,7.472230381154389978e-01
-1.457682609558105469e+00,6.004526138305664062e+00,6.730138778686523438e+00,-2.648788748412552949e-02,4.677496175790073901e-02,-6.624400514811773499e-01,7.471844155931168796e-01
-1.467505097389221191e+00,6.002547740936279297e+00,6.730419635772705078e+00,-2.634437787546742293e-02,4.634024893962947894e-02,-6.616894237923260924e-01,7.478813717874479572e-01
-1.467723369598388672e+00,6.006675720214843750e+00,6.733312129974365234e+00,-2.570478543233472440e-02,4.628789651723209941e-02,-6.616662753455857526e-01,7.479273996982099826e-01
-1.457010746002197266e+00,6.006653785705566406e+00,6.736711978912353516e+00,-2.566418766187139947e-02,4.572113374829406968e-02,-6.626443840791315099e-01,7.470973041121342639e-01
-1.449197053909301758e+00,5.996949672698974609e+00,6.737987995147705078e+00,-2.567869885639260247e-02,4.593644632152316803e-02,-6.625291347045998425e-01,7.471857904181712362e-01
-1.442276120185852051e+00,5.993934631347656250e+00,6.738052845001220703e+00,-2.522930350237229113e-02,4.588950384084534290e-02,-6.627251993034267707e-01,7.470300115049651746e-01
-1.451024055480957031e+00,5.991581439971923828e+00,6.730239868164062500e+00,-2.596361715655540539e-02,4.635722075431568390e-02,-6.620625818339160862e-01,7.475632867348119825e-01
-1.448925137519836426e+00,5.988026618957519531e+00,6.736880779266357422e+00,-2.528769647015608954e-02,4.653257996060707752e-02,-6.632449179144160878e-01,7.465267784675050367e-01
-1.445226788520812988e+00,5.983525753021240234e+00,6.735179424285888672e+00,-2.530861298623790848e-02,4.635594944165529613e-02,-6.633434228354077034e-01,7.464495492054662451e-01
-1.450787425041198730e+00,5.982096672058105469e+00,6.735116004943847656e+00,-2.485954634750407732e-02,4.635826688489251557e-02,-6.632414824589933922e-01,7.465551120752578207e-01
-1.454958319664001465e+00,5.981193542480468750e+00,6.733558177947998047e+00,-2.570119440875087702e-02,4.771125773210425219e-02,-6.635106914093330532e-01,7.462020827828743652e-01
-1.457272291183471680e+00,5.980211734771728516e+00,6.732272624969482422e+00,-2.558043324912746136e-02,4.721599991337585567e-02,-6.635392142195902787e-01,7.462124505412345288e-01
-1.452033519744873047e+00,5.986922740936279297e+00,6.734220981597900391e+00,-2.534128241192948328e-02,4.686303644770065113e-02,-6.633685827175849203e-01,7.463945748488319820e-01
-1.451629281044006348e+00,5.994578361511230469e+00,6.733526706695556641e+00,-2.584510483612266138e-02,4.661309269512859538e-02,-6.630700051230921099e-01,7.466582427162098412e-01
-1.457120299339294434e+00,5.998211383819580078e+00,6.732173442840576172e+00,-2.648244977983737689e-02,4.685046173526341562e-02,-6.629167180404487159e-01,7.467570975946203893e-01
-1.465021133422851562e+00,6.002530574798583984e+00,6.731482982635498047e+00,-2.641126725418220869e-02,4.709053882916884592e-02,-6.617331035689644203e-01,7.477936116757141205e-01
-1.463416934013366699e+00,6.003487586975097656e+00,6.731350898742675781e+00,-2.634462814477884357e-02,4.717749892700291714e-02,-6.621685868302176203e-01,7.474049049529142286e-01
-1.461679339408874512e+00,6.001228809356689453e+00,6.731235980987548828e+00,-2.640278535799697734e-02,4.727676284245307947e-02,-6.617864069525928317e-01,7.477350020612758552e-01
-1.468184232711791992e+00,6.012177467346191406e+00,6.733776569366455078e+00,-2.580447536328950645e-02,4.749567060234943794e-02,-6.614394336717405176e-01,7.480490251216416198e-01
-1.470363497734069824e+00,6.017975330352783203e+00,6.734990119934082031e+00,-2.570791133339159554e-02,4.655223845302976921e-02,-6.609818638834672466e-01,7.485158958868554091e-01
-1.468390822410583496e+00,6.015527725219726562e+00,6.741287231445312500e+00,-2.536411685971993318e-02,4.652530764242078509e-02,-6.610544876246674528e-01,7.484652442408845641e-01
-1.464836716651916504e+00,6.025247573852539062e+00,6.743507862091064453e+00,-2.592878924491822529e-02,4.604799681474228135e-02,-6.609416963497685149e-01,7.485750029745892320e-01
-1.462274193763732910e+00,6.028205871582031250e+00,6.745065212249755859e+00,-2.569889620890476040e-02,4.557975148454868758e-02,-6.600692449714696819e-01,7.493809241075810590e-01
-1.463304638862609863e+00,6.031961441040039062e+00,6.750044345855712891e+00,-2.526764381090132461e-02,4.554079033509510904e-02,-6.602977333694768358e-01,7.491966007606293276e-01
-1.469777584075927734e+00,6.035363197326660156e+00,6.749120235443115234e+00,-2.548429915938275198e-02,4.553618805944388559e-02,-6.594676141288586813e-01,7.499203540314857142e-01
-1.462725520133972168e+00,6.035480499267578125e+00,6.743089675903320312e+00,-2.561703954050795901e-02,4.445741081429116504e-02,-6.596508787434213206e-01,7.498194010176042479e-01
-1.460827589035034180e+00,6.039016723632812500e+00,6.743126392364501953e+00,-2.520552663221119552e-02,4.478501792145622717e-02,-6.603563502481771819e-01,7.491924910771720070e-01
-1.456812500953674316e+00,6.041406154632568359e+00,6.742969512939453125e+00,-2.488211455710178169e-02,4.509740183540700276e-02,-6.610095087257982227e-01,7.486083075207295989e-01
-1.457998633384704590e+00,6.051880836486816406e+00,6.738134860992431641e+00,-2.513789820555803814e-02,4.486380485515023553e-02,-6.611628363332127112e-01,7.484783790589827346e-01
-1.454557895660400391e+00,6.054725170135498047e+00,6.738383769989013672e+00,-2.522205514185082292e-02,4.516047064798122540e-02,-6.609404549353098401e-01,7.486541004075208949e-01
